In (Grams),Out (Grams),Time (Seconds),Coffee,Grinder,Grind Setting,Ratio
13,44.6,36,Candlestick - Columbia,Breville,1,3.43
12.8,46.4,38,Candlestick - Columbia,Breville,1,3.63
18.7,38.4,61,Candlestick - Columbia,Breville,1,2.05
17.1,49.3,36,Candlestick - Columbia,Breville,3,2.88
16.4,47,39,Candlestick - Columbia,Breville,3,2.87
16,50,29,Candlestick - Columbia,Breville,5,3.13
16.9,53.2,26,Candlestick - Columbia,Breville,5,3.15
15.3,54.6,22,Candlestick - Columbia,Breville,5,3.57
15.8,57.1,22,Candlestick - Columbia,Breville,6,3.61
14.6,58.5,21,Candlestick - Columbia,Breville,6,4.01
15.2,54.6,22,Candlestick - Columbia,Breville,6,3.59
16.9,54.8,23,Candlestick - Columbia,Breville,7,3.24
16,60.4,22,Candlestick - Columbia,Breville,7,3.78
15.6,55.2,21,Candlestick - Columbia,Breville,7,3.54
16,61.2,21,Candlestick - Columbia,Breville,8,3.83
13.3,57.3,18,Candlestick - Columbia,Breville,8,4.31
16.2,59.1,20,Candlestick - Columbia,Breville,8,3.65
19.8,60.1,25,Candlestick - Columbia,Breville,9,3.04
19.3,59.2,22,Candlestick - Columbia,Breville,9,3.07
14.8,59.6,20,Candlestick - Columbia,Breville,9,4.03
11.6,55,18,Candlestick - Columbia,Breville,9,4.74
19.4,55.7,22,Candlestick - Columbia,Breville,10,2.87
14.6,54.2,18,Candlestick - Columbia,Breville,10,3.71
10.4,67.5,23,Candlestick - Columbia,Breville,10,6.49